"Households 1. January by time and region"
" ","All Denmark"
"1986",2198846
"1987",2221485
"1988",2239956
"1989",2260142
"1990",2278293
"1991",2298892
"1992",2318509
"1993",2334278
"1994",2348059
"1995",2365207
"1996",2381132
"1997",2397075
"1998",2412335
"1999",2428014
"2000",2438307
"2001",2448490
"2002",2459203
"2003",2469332
"2004",2482150
"2005",2499606
"2006",2517137
"2007",2532058
"2008",2547377
"2009",2563903
"2010",2573417
"2011",2584479
"2012",2593553
"2013",2607876
"2014",2621249
"2015",2636586
"2016",2654585
"2017",2670059
"2018",2688472
"2019",2706070
"2020",2728132
"2021",2757161
"2022",2788291
